id,pedestrian,people,bicycle,car,van,truck,tricycle,awning-tricycle,bus,motor,total
9999965_00000_d_0000046,0.23809523809523808,0.0380952380952381,0.1523809523809524,0.34285714285714286,0.09523809523809523,0.047619047619047616,0.0,0.0,0.009523809523809525,0.0761904761904762,105
0000266_08201_d_0000276,0.375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0,8
9999987_00000_d_0000064,0.8873239436619719,0.028169014084507043,0.0,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,0.0,0.056338028169014086,71
9999960_00000_d_0000026,0.06060606060606061,0.0,0.0,0.8787878787878788,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,33
9999977_00000_d_0000041,0.022556390977443608,0.06766917293233082,0.03007518796992481,0.3082706766917293,0.06766917293233082,0.0,0.0,0.0,0.015037593984962405,0.48872180451127817,133
0000351_00393_d_0000521,0.08609271523178808,0.08609271523178808,0.1456953642384106,0.36423841059602646,0.026490066225165563,0.0,0.026490066225165563,0.0,0.0,0.26490066225165565,151
9999955_00000_d_0000427,0.2,0.016666666666666666,0.0,0.45,0.16666666666666666,0.03333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,60
9999982_00000_d_0000198,0.0,0.0,0.0,0.5789473684210527,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,19
0000209_00922_d_0000222,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4
9999945_00000_d_0000054,0.07407407407407407,0.1111111111111111,0.0,0.3333333333333333,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.4444444444444444,54
9999937_00000_d_0000144,0.0423728813559322,0.07627118644067797,0.01694915254237288,0.03389830508474576,0.025423728813559324,0.05084745762711865,0.1271186440677966,0.07627118644067797,0.00847457627118644,0.5423728813559322,118
9999942_00000_d_0000116,0.2111111111111111,0.14444444444444443,0.2222222222222222,0.14444444444444443,0.022222222222222223,0.07777777777777778,0.0,0.13333333333333333,0.0,0.044444444444444446,90
9999998_00398_d_0000350,0.0,0.0,0.41379310344827586,0.20689655172413793,0.2413793103448276,0.13793103448275862,0.0,0.0,0.0,0.0,29
9999945_00000_d_0000050,0.12345679012345678,0.1111111111111111,0.08641975308641975,0.3333333333333333,0.012345679012345678,0.0,0.0,0.0,0.012345679012345678,0.32098765432098764,81
0000309_00201_d_0000334,0.08571428571428572,0.09285714285714286,0.09285714285714286,0.09285714285714286,0.08571428571428572,0.0,0.007142857142857143,0.0,0.0,0.5428571428571428,140
0000225_01555_d_0000005,0.15384615384615385,0.12087912087912088,0.0,0.4175824175824176,0.03296703296703297,0.01098901098901099,0.04395604395604396,0.0,0.0,0.21978021978021978,91
0000345_01373_d_0000316,0.1865671641791045,0.022388059701492536,0.11940298507462686,0.19402985074626866,0.03731343283582089,0.0,0.04477611940298507,0.022388059701492536,0.0,0.373134328358209,134
0000153_00801_d_0000001,0.2653061224489796,0.02040816326530612,0.0,0.1836734693877551,0.061224489795918366,0.0,0.16326530612244897,0.0,0.02040816326530612,0.2857142857142857,49
0000221_01411_d_0000005,0.04878048780487805,0.04878048780487805,0.1951219512195122,0.4878048780487805,0.024390243902439025,0.17073170731707318,0.0,0.0,0.024390243902439025,0.0,41
9999937_00000_d_0000078,0.027777777777777776,0.0,0.0,0.1111111111111111,0.1388888888888889,0.08333333333333333,0.0,0.0,0.0,0.6388888888888888,36
9999951_00000_d_0000248,0.27586206896551724,0.0,0.0,0.15517241379310345,0.1896551724137931,0.017241379310344827,0.0,0.0,0.08620689655172414,0.27586206896551724,58
9999950_00000_d_0000002,0.125,0.140625,0.0,0.171875,0.0,0.0,0.0,0.0,0.0,0.5625,64
9999969_00000_d_0000036,0.16923076923076924,0.015384615384615385,0.0,0.4461538461538462,0.07692307692307693,0.0,0.0,0.0,0.0,0.2923076923076923,65
0000205_00000_d_0000196,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,28
9999975_00000_d_0000020,0.0045662100456621,0.0136986301369863,0.2237442922374429,0.5799086757990868,0.0365296803652968,0.0045662100456621,0.0045662100456621,0.0,0.0,0.1324200913242009,219
9999937_00000_d_0000225,0.061946902654867256,0.05309734513274336,0.0,0.168141592920354,0.08849557522123894,0.008849557522123894,0.0,0.11504424778761062,0.0,0.504424778761062,113
0000360_04117_d_0000734,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,18
9999990_00000_d_0000043,0.14563106796116504,0.05825242718446602,0.0,0.06796116504854369,0.009708737864077669,0.009708737864077669,0.0,0.02912621359223301,0.0,0.6796116504854369,103
9999942_00000_d_0000037,0.1509433962264151,0.03773584905660377,0.05660377358490566,0.22641509433962265,0.05660377358490566,0.03773584905660377,0.0,0.1509433962264151,0.0,0.2830188679245283,53
0000215_02667_d_0000262,0.26506024096385544,0.060240963855421686,0.024096385542168676,0.4578313253012048,0.07228915662650602,0.012048192771084338,0.04819277108433735,0.0,0.0,0.060240963855421686,83
9999945_00000_d_0000048,0.11764705882352941,0.11764705882352941,0.0,0.36470588235294116,0.0,0.0,0.0,0.0,0.023529411764705882,0.3764705882352941,85
0000283_01001_d_0000679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
9999998_00416_d_0000368,0.24242424242424243,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,33
0000360_03921_d_0000733,0.09615384615384616,0.23076923076923078,0.038461538461538464,0.40384615384615385,0.038461538461538464,0.0,0.15384615384615385,0.019230769230769232,0.0,0.019230769230769232,52
9999999_00815_d_0000373,0.1569767441860465,0.08139534883720931,0.06976744186046512,0.19186046511627908,0.11046511627906977,0.005813953488372093,0.06976744186046512,0.0,0.0,0.313953488372093,172
9999970_00000_d_0000043,0.14285714285714285,0.014285714285714285,0.05714285714285714,0.35714285714285715,0.12857142857142856,0.0,0.0,0.05714285714285714,0.014285714285714285,0.22857142857142856,70
0000204_00332_d_0000192,0.06179775280898876,0.056179775280898875,0.02247191011235955,0.17415730337078653,0.0056179775280898875,0.056179775280898875,0.38202247191011235,0.15730337078651685,0.0056179775280898875,0.07865168539325842,178
9999955_00000_d_0000091,0.38461538461538464,0.0,0.0,0.38461538461538464,0.19230769230769232,0.0,0.0,0.0,0.038461538461538464,0.0,26
0000357_04509_d_0000679,0.14473684210526316,0.1513157894736842,0.08552631578947369,0.09210526315789473,0.0,0.0,0.05263157894736842,0.0,0.0,0.47368421052631576,152
9999999_00735_d_0000335,0.2,0.1,0.2,0.3,0.06666666666666667,0.0,0.0,0.0,0.0,0.13333333333333333,60
9999998_00412_d_0000364,0.03333333333333333,0.03333333333333333,0.0,0.3,0.3,0.2,0.0,0.13333333333333333,0.0,0.0,30
0000264_02601_d_0000207,0.0,0.0,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,12
9999998_00299_d_0000252,0.1,0.016666666666666666,0.2,0.25,0.21666666666666667,0.016666666666666666,0.0,0.0,0.0,0.2,60
9999998_00367_d_0000319,0.09473684210526316,0.031578947368421054,0.25263157894736843,0.2631578947368421,0.21052631578947367,0.021052631578947368,0.042105263157894736,0.0,0.0,0.08421052631578947,95
9999955_00000_d_0000367,0.07446808510638298,0.02127659574468085,0.0,0.3617021276595745,0.23404255319148937,0.05319148936170213,0.0,0.0,0.2127659574468085,0.0425531914893617,94
9999953_00000_d_0000143,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,9
9999972_00000_d_0000063,0.16666666666666666,0.0,0.0,0.375,0.16666666666666666,0.0,0.125,0.0,0.0,0.16666666666666666,24
9999940_00000_d_0000096,0.2558139534883721,0.03488372093023256,0.0,0.36046511627906974,0.08139534883720931,0.023255813953488372,0.0,0.0,0.10465116279069768,0.13953488372093023,86
9999999_00253_d_0000109,0.32608695652173914,0.14130434782608695,0.043478260869565216,0.021739130434782608,0.010869565217391304,0.0,0.043478260869565216,0.0,0.0,0.41304347826086957,92
9999942_00000_d_0000081,0.2318840579710145,0.057971014492753624,0.2318840579710145,0.18840579710144928,0.043478260869565216,0.028985507246376812,0.0,0.0,0.0,0.21739130434782608,69
9999984_00000_d_0000028,0.08928571428571429,0.17857142857142858,0.0,0.10714285714285714,0.017857142857142856,0.03571428571428571,0.0,0.07142857142857142,0.0,0.5,56
9999962_00000_d_0000036,0.25862068965517243,0.0,0.05172413793103448,0.27586206896551724,0.017241379310344827,0.0,0.06896551724137931,0.0,0.0,0.3275862068965517,58
9999999_00873_d_0000400,0.12048192771084337,0.012048192771084338,0.0,0.6626506024096386,0.14457831325301204,0.012048192771084338,0.0,0.04819277108433735,0.0,0.0,83
9999937_00000_d_0000220,0.14705882352941177,0.029411764705882353,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.0,0.11764705882352941,34
0000366_06077_d_0000807,0.5,0.2037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,54
0000335_02745_d_0000057,0.15151515151515152,0.25252525252525254,0.030303030303030304,0.31313131313131315,0.04040404040404041,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.18181818181818182,99
0000335_01961_d_0000053,0.10144927536231885,0.2318840579710145,0.057971014492753624,0.391304347826087,0.043478260869565216,0.0,0.014492753623188406,0.0,0.0,0.15942028985507245,69
0000358_01177_d_0000686,0.2,0.08125,0.09375,0.1875,0.03125,0.00625,0.075,0.03125,0.0,0.29375,160
0000172_01484_d_0000001,0.171875,0.109375,0.0,0.1015625,0.0,0.0078125,0.03125,0.0546875,0.0,0.5234375,128
0000270_04001_d_0000373,0.09615384615384616,0.08653846153846154,0.0673076923076923,0.3942307692307692,0.009615384615384616,0.0,0.07692307692307693,0.0,0.0,0.2692307692307692,104
0000330_04001_d_0000820,0.21052631578947367,0.23684210526315788,0.02631578947368421,0.18421052631578946,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.2894736842105263,38
0000349_04901_d_0000465,0.2127659574468085,0.0,0.3191489361702128,0.23404255319148937,0.0,0.0,0.14893617021276595,0.0,0.0,0.0851063829787234,47
9999981_00000_d_0000140,0.0,0.0,0.0,0.5,0.2777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,18
9999942_00000_d_0000153,0.22429906542056074,0.102803738317757,0.18691588785046728,0.09345794392523364,0.018691588785046728,0.08411214953271028,0.037383177570093455,0.14018691588785046,0.0,0.11214953271028037,107
9999999_00139_d_0000054,0.29850746268656714,0.1791044776119403,0.0,0.19402985074626866,0.13432835820895522,0.0,0.0,0.05970149253731343,0.014925373134328358,0.11940298507462686,67
9999981_00000_d_0000073,0.06779661016949153,0.0847457627118644,0.13559322033898305,0.23728813559322035,0.03389830508474576,0.05084745762711865,0.05084745762711865,0.0,0.0,0.3389830508474576,59
9999962_00000_d_0000069,0.36363636363636365,0.0,0.0,0.38636363636363635,0.18181818181818182,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,44
9999982_00000_d_0000186,0.13333333333333333,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,15
9999987_00000_d_0000013,0.8571428571428571,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.09523809523809523,42
0000239_03837_d_0000011,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.3548387096774194,0.03225806451612903,0.0,0.04838709677419355,0.0,0.0,0.3709677419354839,62
9999997_00000_d_0000011,0.17647058823529413,0.0,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,17
9999972_00000_d_0000055,0.037037037037037035,0.0,0.0,0.37037037037037035,0.14814814814814814,0.14814814814814814,0.2962962962962963,0.0,0.0,0.0,27
9999955_00000_d_0000305,0.2682926829268293,0.14634146341463414,0.0,0.3170731707317073,0.1951219512195122,0.024390243902439025,0.0,0.0,0.04878048780487805,0.0,41
0000214_01218_d_0000251,0.14285714285714285,0.012987012987012988,0.1038961038961039,0.2727272727272727,0.012987012987012988,0.0,0.05194805194805195,0.0,0.0,0.4025974025974026,77
9999945_00000_d_0000007,0.6363636363636364,0.0,0.0,0.3181818181818182,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,22
